epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,7363.81,0.4288,0.31534,0.88963,0.98928,0.991,0.98465,0.96429,0.30608,0.21996,0.81979,0.0005446,0.0005446,0.0005446
71,7468.97,0.42258,0.31374,0.88638,0.98937,0.991,0.98481,0.964,0.30549,0.21909,0.81973,0.000538,0.000538,0.000538
72,7575.76,0.42106,0.30964,0.88273,0.98938,0.991,0.9847,0.96416,0.30408,0.21867,0.81914,0.0005314,0.0005314,0.0005314
73,7684.66,0.42164,0.31194,0.88397,0.98947,0.991,0.98459,0.96483,0.30249,0.21852,0.81887,0.0005248,0.0005248,0.0005248
74,7791.03,0.41546,0.30864,0.88131,0.9895,0.991,0.98473,0.96632,0.30013,0.21774,0.81807,0.0005182,0.0005182,0.0005182
75,7896.08,0.4155,0.31121,0.88427,0.9894,0.991,0.98446,0.96619,0.29891,0.21758,0.8176,0.0005116,0.0005116,0.0005116
76,7998.8,0.41453,0.30754,0.88132,0.98952,0.991,0.98443,0.9672,0.29753,0.21719,0.81726,0.000505,0.000505,0.000505
77,8101.8,0.41104,0.30171,0.87868,0.9896,0.991,0.98483,0.96792,0.29634,0.21696,0.81722,0.0004984,0.0004984,0.0004984
78,8207.74,0.40708,0.30464,0.87918,0.98953,0.991,0.98481,0.96862,0.29603,0.21637,0.81708,0.0004918,0.0004918,0.0004918
79,8312.59,0.40811,0.30331,0.88046,0.98952,0.991,0.98474,0.96895,0.29479,0.21582,0.81699,0.0004852,0.0004852,0.0004852
80,8417.86,0.40547,0.29928,0.87807,0.98968,0.991,0.98481,0.96908,0.29451,0.21572,0.817,0.0004786,0.0004786,0.0004786
81,8521.64,0.40878,0.305,0.87899,0.98977,0.991,0.98471,0.96896,0.29372,0.21512,0.81672,0.000472,0.000472,0.000472
82,8627.31,0.39917,0.30032,0.87428,0.98977,0.991,0.9848,0.96927,0.29341,0.21561,0.8167,0.0004654,0.0004654,0.0004654
83,8731.67,0.40021,0.30058,0.87606,0.98983,0.991,0.98483,0.96932,0.29306,0.21562,0.81667,0.0004588,0.0004588,0.0004588
84,8835.51,0.40149,0.29527,0.87632,0.98984,0.991,0.98469,0.96893,0.29351,0.21599,0.81671,0.0004522,0.0004522,0.0004522
85,8939.31,0.39766,0.29347,0.87315,0.98978,0.991,0.9844,0.96898,0.29367,0.21561,0.81652,0.0004456,0.0004456,0.0004456
86,9043.24,0.3943,0.29391,0.87349,0.9896,0.991,0.98441,0.96878,0.29419,0.21517,0.81656,0.000439,0.000439,0.000439
87,9147.9,0.39629,0.29755,0.8729,0.98961,0.991,0.98441,0.96989,0.29383,0.21479,0.81632,0.0004324,0.0004324,0.0004324
88,9253.34,0.38969,0.28687,0.87246,0.98958,0.991,0.98451,0.96975,0.29365,0.21482,0.81607,0.0004258,0.0004258,0.0004258
89,9357.67,0.39408,0.29057,0.87,0.98962,0.991,0.98455,0.96958,0.29309,0.21467,0.81592,0.0004192,0.0004192,0.0004192
90,9461.77,0.39195,0.2872,0.87219,0.98951,0.991,0.98463,0.96948,0.29211,0.21393,0.81552,0.0004126,0.0004126,0.0004126
91,9566.77,0.3891,0.28807,0.87072,0.98955,0.991,0.98454,0.96968,0.29125,0.21343,0.81521,0.000406,0.000406,0.000406
92,9670.41,0.38935,0.28534,0.8718,0.98952,0.991,0.9845,0.96977,0.29063,0.21297,0.81489,0.0003994,0.0003994,0.0003994
93,9776.13,0.38582,0.28331,0.86914,0.98971,0.991,0.9845,0.97041,0.28913,0.21255,0.81433,0.0003928,0.0003928,0.0003928
